iter	Passed	Remaining
405	6252	9148
406	6267	9131
407	6284	9118
408	6317	9129
409	6341	9126
410	6360	9114
411	6374	9096
412	6388	9080
413	6408	9070
414	6421	9052
415	6434	9032
416	6450	9017
417	6466	9003
418	6482	8988
419	6495	8969
420	6507	8949
421	6519	8929
422	6532	8910
423	6543	8889
424	6557	8871
425	6569	8852
426	6585	8837
427	6606	8828
428	6620	8812
429	6634	8795
430	6647	8776
431	6659	8756
432	6674	8739
433	6686	8719
434	6698	8700
435	6711	8681
436	6724	8663
437	6736	8643
438	6749	8625
439	6761	8605
440	6772	8585
441	6788	8570
442	6806	8558
443	6819	8539
444	6830	8519
445	6843	8500
446	6854	8479
447	6866	8459
448	6877	8440
449	6889	8420
450	6902	8402
451	6913	8381
452	6927	8364
453	6942	8349
454	6955	8331
455	6968	8313
456	6985	8300
457	7002	8287
458	7016	8269
459	7027	8249
460	7039	8231
461	7052	8212
462	7064	8193
463	7076	8175
464	7088	8155
465	7100	8136
466	7112	8117
467	7124	8098
468	7135	8079
469	7148	8061
470	7160	8042
471	7171	8022
472	7187	8008
473	7205	7996
474	7222	7982
475	7239	7969
476	7254	7954
477	7270	7940
478	7284	7922
479	7298	7906
480	7310	7888
481	7324	7871
482	7336	7852
483	7349	7835
484	7361	7817
485	7373	7798
486	7389	7783
487	7407	7771
488	7420	7754
489	7438	7742
490	7453	7726
491	7469	7712
492	7482	7695
493	7495	7677
494	7506	7658
495	7519	7641
496	7531	7622
497	7543	7603
498	7555	7585
499	7567	7567
500	7581	7550
501	7595	7535
502	7610	7519
503	7625	7504
504	7638	7487
505	7651	7470
506	7663	7452
507	7676	7434
508	7688	7416
509	7701	7399
510	7712	7380
511	7724	7362
512	7737	7345
513	7750	7327
514	7762	7309
515	7773	7291
516	7784	7273
517	7801	7259
518	7813	7241
519	7827	7225
520	7839	7207
521	7851	7189
522	7865	7173
523	7877	7155
524	7889	7137
525	7901	7120
526	7915	7104
527	7931	7090
528	7945	7074
529	7958	7057
530	7971	7040
531	7983	7023
532	8000	7009
533	8012	6991
534	8024	6974
535	8038	6958
536	8050	6941
537	8062	6923
538	8075	6906
539	8088	6889
540	8102	6874
541	8114	6857
542	8126	6839
543	8140	6823
544	8152	6806
545	8166	6790
546	8179	6773
547	8197	6761
548	8216	6750
549	8232	6735
550	8248	6721
551	8263	6706
552	8280	6693
553	8294	6677
554	8309	6662
555	8326	6649
556	8342	6635
557	8357	6620
558	8373	6606
559	8387	6590
560	8404	6577
561	8422	6564
562	8438	6549
563	8453	6535
564	8470	6521
565	8483	6504
566	8495	6487
567	8507	6470
568	8520	6453
569	8533	6437
570	8547	6421
571	8559	6404
572	8571	6387
573	8587	6373
