iter	RMSE
158	0.1060215226
159	0.1059817853
160	0.1059248506
161	0.1058734647
162	0.1058466425
163	0.1058023164
164	0.1057472413
165	0.1056960381
166	0.1056439761
167	0.1056205084
168	0.1055584604
169	0.1055230817
170	0.1054848329
171	0.1054521932
172	0.1054151586
173	0.1053682637
174	0.1052942712
175	0.1052651433
176	0.1052061253
177	0.1051583355
178	0.1051071591
179	0.1050542421
180	0.1050102625
181	0.1049911211
182	0.1049506926
183	0.1049102644
184	0.1048766379
185	0.1048401816
186	0.1048169615
187	0.1047957033
188	0.1047572061
189	0.1047215059
190	0.1046760908
191	0.1046372558
192	0.1046067756
193	0.1045664918
194	0.1045103454
195	0.1044824468
196	0.1044482394
197	0.1044170602
198	0.1043718124
199	0.1043553055
200	0.1043207758
201	0.1042848641
202	0.1042334719
203	0.1042199028
204	0.1041603895
205	0.104138153
206	0.1041172182
207	0.1040872727
208	0.104051531
209	0.1040092049
210	0.1039584151
211	0.1039259326
212	0.1038810176
213	0.1038420287
214	0.1038104777
215	0.1037905602
216	0.103761269
217	0.1037109671
218	0.1036696906
219	0.1036245792
220	0.1035920293
221	0.1035677112
222	0.1035528503
223	0.1035314907
224	0.1035097773
225	0.1034911283
226	0.1034432431
227	0.1034063457
228	0.1033875422
229	0.1033288261
230	0.1032928321
231	0.103242681
232	0.1031908901
233	0.1031707727
234	0.1031435068
235	0.1031268579
236	0.1031045235
237	0.1030687462
238	0.1030569185
239	0.1030056648
240	0.1029529962
241	0.1029358122
242	0.1029105516
243	0.1028762463
244	0.1028351242
245	0.1028076533
246	0.1027949724
247	0.1027555791
248	0.1027386782
249	0.1027057141
250	0.1026939859
251	0.1026302725
252	0.1026211231
253	0.1025893409
254	0.1025690308
255	0.1025402454
256	0.10250812
257	0.1024581153
258	0.1024052063
259	0.1023898155
260	0.1023609208
261	0.1023543089
262	0.1023182599
263	0.1022653806
264	0.1022340665
265	0.1022178775
266	0.1021881375
267	0.1021475629
268	0.1021081014
269	0.1020533928
270	0.1020413464
271	0.1020230333
272	0.1019945954
273	0.1019728462
274	0.1019512721
275	0.1019271328
276	0.1019015952
277	0.1018875241
278	0.1018425442
279	0.1018059185
280	0.1017586503
281	0.1017460031
282	0.1017139484
283	0.1016972551
284	0.1016623211
285	0.1016133038
286	0.1015876334
287	0.1015629974
288	0.1015383984
289	0.1015043317
290	0.1014684921
291	0.1014340282
292	0.1014064167
293	0.1013721333
294	0.1013373737
295	0.1013040448
296	0.1012696876
297	0.1012531229
298	0.1012326906
299	0.1011948014
300	0.1011390399
301	0.1011233583
302	0.1010805637
303	0.1010397579
304	0.1010017678
305	0.1009644436
306	0.1009223409
307	0.1009052522
308	0.1008742176
309	0.1008479019
310	0.1008058426
311	0.1007731456
312	0.1007239436
313	0.1007114252
314	0.100670227
315	0.1006547682
316	0.1006290768
317	0.1005973352
318	0.1005732389
319	0.1005450074
320	0.1005253199
321	0.1005001632
322	0.1004794549
323	0.1004517544
324	0.1004377119
325	0.1003994166
326	0.1003820313
327	0.1003618104
328	0.100318623
329	0.1003110382
330	0.1002933477
331	0.1002511179
332	0.10021234
333	0.1001541805
334	0.100128679
335	0.1001036378
336	0.1000593955
337	0.1000341718
338	0.09999527387
339	0.09997714024
340	0.09994404845
341	0.09991943924
342	0.09989390904
343	0.09986962787
344	0.09983342197
345	0.09979481343
346	0.0997480839
347	0.09973865369
348	0.09971931732
349	0.09968784284
350	0.09966553489
351	0.09962079658
352	0.09959341762
353	0.09955823446
354	0.09952007478
355	0.09947980503
356	0.09944593683
357	0.0994125487
358	0.09938526822
359	0.09935831534
360	0.09932615399
361	0.09931048148
362	0.09930186252
363	0.09928666121
364	0.09926313688
365	0.09923076705
366	0.09920164997
367	0.09917486063
368	0.0991641963
369	0.09912773097
370	0.09910953654
371	0.0990891645
372	0.09905808491
373	0.09903156866
374	0.09899874437
375	0.09896791689
376	0.09895055491
377	0.09892340914
378	0.09889106951
379	0.09887317764
380	0.09885008017
381	0.09884062772
382	0.0988188305
383	0.09880199886
384	0.09879471587
385	0.09875649411
386	0.0987215954
387	0.09870068203
388	0.0986748946
389	0.09865556302
390	0.09863279812
391	0.09861328897
392	0.09859070835
393	0.09857067782
394	0.09853933901
395	0.09851737104
396	0.09848719252
397	0.09845651119
398	0.09842490172
399	0.09840592361
400	0.09838556225
401	0.09836425491
402	0.09832684965
403	0.09830889248
404	0.09827685789
405	0.09824852406
406	0.09822984211
407	0.09818623595
408	0.09816529489
409	0.09814867958
410	0.09811602791
411	0.09809588253
412	0.09807463604
413	0.09804994533
414	0.09801874086
415	0.09800296467
416	0.09797601406
417	0.09796871409
418	0.09793109897
419	0.09790633756
420	0.09789339359
421	0.09786881399
422	0.0978310999
423	0.09781528757
424	0.09778556181
425	0.0977623269
426	0.09774656457
427	0.09772618562
428	0.09770223865
429	0.09766572696
430	0.09763835476
431	0.09762573365
432	0.09759330463
433	0.09757818266
434	0.09756581271
435	0.09754259594
436	0.0975170686
437	0.09749765905
438	0.09746880015
439	0.0974521424
440	0.09741750392
441	0.09739665692
442	0.09738592608
443	0.09736557977
444	0.09735164325
445	0.09732715503
446	0.09731134955
447	0.09729240246
448	0.09727602192
449	0.09726307912
450	0.09723989443
451	0.09723283534
452	0.09720615515
453	0.09718501334
454	0.09716249695
455	0.09714546389
456	0.09710885749
457	0.09709399776
458	0.09708402514
459	0.09706665704
460	0.0970465768
461	0.09702728362
462	0.09700172791
463	0.09697873074
464	0.09695951755
465	0.09694245992
466	0.09692508902
467	0.09690752378
468	0.09688515167
469	0.09685819895
470	0.09683379461
471	0.09682082851
472	0.09680054282
473	0.09677223037
474	0.09675208344
475	0.09673862825
476	0.0967211619
477	0.09668687228
478	0.09667237753
479	0.09665491161
480	0.09662946751
481	0.09659141111
482	0.09656601357
483	0.09654753407
484	0.09652530808
485	0.09651626069
486	0.09649056691
487	0.09645452665
488	0.0964413416
489	0.09641051069
490	0.09638675139
491	0.09635610482
492	0.09634995599
493	0.09632994713
494	0.09631412839
495	0.09629071918
496	0.09627448684
497	0.09626035812
498	0.09624545611
499	0.09623586812
500	0.09621336386
501	0.09619339275
502	0.09616592142
503	0.09614261159
504	0.09613194253
505	0.09610169499
506	0.09608565773
507	0.09605664626
508	0.0960457911
509	0.09601202519
510	0.0959998634
511	0.09598339165
512	0.0959539731
513	0.0959280608
514	0.0959071847
515	0.09588715556
516	0.09586319729
517	0.09583647012
518	0.0958230958
519	0.09579203593
520	0.09577552781
521	0.09573785396
522	0.09571843791
523	0.09569847014
524	0.09568261481
525	0.09566458906
526	0.0956379128
527	0.09561641335
528	0.09560595556
529	0.09557219339
530	0.09554981873
531	0.09553340198
532	0.09551150293
533	0.09549218749
534	0.09548012275
535	0.09547143116
536	0.0954564112
537	0.09543518034
538	0.09542488991
539	0.09539763994
540	0.09538071939
541	0.09536196323
542	0.0953506467
543	0.09532752448
544	0.09530104276
545	0.09527831007
546	0.09526425541
547	0.09523541422
548	0.09520690306
549	0.09518476731
550	0.09514345781
551	0.09512823039
552	0.09508941921
553	0.09507710291
554	0.09505588807
555	0.09503820971
556	0.09501711652
557	0.09499421051
558	0.09496560224
559	0.09493974463
560	0.09491446844
561	0.09488367339
562	0.09486059894
563	0.09483973431
564	0.09481815084
565	0.09481259671
566	0.09480428281
567	0.09479511648
568	0.09477467674
569	0.09475572636
570	0.09473660259
571	0.09472263225
572	0.09470384486
573	0.09468766506
574	0.0946741259
575	0.09464756569
576	0.0946120354
577	0.09460058314
578	0.09458874381
579	0.09456481293
580	0.09455004131
581	0.09452727592
582	0.09451100565
583	0.09449710044
584	0.09447822077
585	0.09446392174
586	0.09444382879
587	0.09442943814
588	0.09440944711
589	0.09439071699
590	0.09438309613
591	0.09436959977
592	0.0943604793
593	0.09434148298
594	0.09432271892
595	0.09430745951
596	0.09428709143
597	0.09426159431
598	0.09424277272
599	0.09422136985
600	0.09420632403
601	0.09419492505
602	0.09417754318
603	0.09416000285
604	0.09414194656
605	0.09412364417
606	0.0941023978
607	0.09408134985
608	0.0940705254
609	0.09405610408
610	0.09403882565
611	0.09402681209
612	0.09401688416
613	0.09399855305
614	0.09397242395
615	0.09395692304
616	0.0939495522
617	0.09393139909
618	0.09390689726
619	0.09387780189
620	0.09386395583
621	0.09382672674
622	0.09379624642
623	0.09377481713
624	0.09375490942
625	0.09373886666
626	0.09372117896
627	0.09370985686
628	0.09368940923
629	0.09366886375
630	0.09364304612
631	0.09362650117
632	0.09360537053
633	0.09359399563
634	0.09357084968
635	0.09356348316
636	0.09354626578
637	0.09351996175
638	0.09351045232
639	0.09348138099
640	0.09346975702
641	0.09346105089
642	0.09344060699
643	0.09342452213
644	0.09341722856
645	0.09340183181
646	0.09338452003
647	0.09336893963
648	0.09334910104
649	0.0933284223
650	0.0933051552
651	0.09328860823
652	0.09327349659
653	0.09325894475
654	0.0932498422
655	0.09322546192
656	0.09318814817
657	0.09316569943
658	0.09314991547
659	0.09313960109
660	0.09311389587
661	0.09310266003
662	0.09307455193
663	0.09304543086
664	0.09302269525
665	0.09300891494
666	0.09299950852
667	0.09298689832
668	0.09297261592
669	0.0929487172
670	0.09293286054
671	0.09292433119
672	0.09290334055
673	0.09287679194
674	0.09286270239
675	0.09283897086
676	0.09281782561
677	0.09279649514
678	0.092764641
679	0.09275483387
680	0.09274113593
681	0.09272056744
682	0.09271068132
683	0.09268939578
684	0.09266306304
685	0.0926508275
686	0.09262484424
687	0.09261295498
688	0.09259921805
689	0.09258151767
690	0.0925490637
691	0.09252226266
692	0.0925038367
693	0.09248755287
694	0.09248123693
695	0.09246343783
696	0.09244548715
697	0.09242577184
698	0.09241123761
699	0.09238805868
700	0.09235235649
701	0.09234481622
702	0.09232921357
703	0.09230448453
704	0.09229337911
705	0.09226710639
706	0.09225160938
707	0.09223989103
708	0.09222518031
709	0.09222048033
710	0.09220365869
711	0.09219552073
712	0.09218698967
713	0.09216891355
714	0.09214363568
715	0.0921313952
716	0.09211363271
717	0.09209890168
718	0.09207971593
719	0.09206718115
720	0.09205951221
721	0.09204326886
722	0.09201204375
723	0.09200047984
724	0.09198525112
725	0.09197782445
726	0.09196923372
727	0.09194741791
728	0.0919358682
729	0.09191868595
730	0.09190574339
731	0.09188350038
732	0.09186297668
733	0.0918474893
734	0.09183352789
735	0.09181699558
736	0.09179673604
737	0.09175467377
738	0.09174047668
739	0.09173529886
740	0.09171703768
741	0.09169421964
742	0.09167740167
743	0.09166107865
744	0.09165066973
745	0.09163653648
746	0.09161966847
747	0.09160402855
748	0.09159389984
749	0.09158019589
750	0.09157016411
751	0.09155971724
752	0.09154987697
753	0.09152985213
754	0.0915014895
755	0.09148563775
756	0.09147525462
757	0.09146235753
758	0.09145027813
759	0.09143080764
760	0.09140591259
761	0.09138768754
762	0.0913771057
763	0.09137099832
764	0.09135289427
765	0.09132185617
766	0.09129091487
767	0.09127656569
768	0.09126496721
769	0.09125324753
770	0.09123258574
771	0.09122332267
772	0.09120867047
773	0.09118366628
774	0.09116585244
775	0.09115249918
776	0.0911469182
777	0.09113059291
778	0.09111627929
779	0.09110356642
780	0.09108181621
781	0.09105489544
782	0.0910494343
783	0.09103894633
784	0.09102722731
785	0.09101080745
786	0.09099881443
787	0.0909796834
788	0.09095517691
789	0.09094885275
790	0.09094091557
791	0.09092036075
792	0.09089152591
793	0.09088434498
794	0.09086152574
795	0.09084097763
796	0.09082841375
797	0.09081384542
798	0.09079478567
799	0.09078005447
800	0.09075619255
801	0.09074475266
802	0.09073812258
803	0.09073259944
804	0.0907207115
805	0.09070608333
806	0.09069453993
807	0.09068061504
808	0.09065400889
809	0.09063705209
810	0.09062847892
811	0.09061801499
812	0.09059950448
813	0.09058980882
814	0.09058076897
815	0.0905720228
816	0.09056062453
817	0.09053504531
818	0.09051725019
819	0.09050729543
820	0.09049473926
821	0.09047297292
822	0.09044880112
823	0.09044205558
824	0.09041758029
825	0.09039823174
826	0.09038123925
827	0.09036632437
828	0.09035223277
829	0.09034097929
830	0.09033026169
831	0.09031940877
832	0.09030295714
833	0.09029646222
834	0.09028143533
835	0.09026108225
836	0.09024445309
837	0.09022038819
838	0.09020389519
839	0.09019262572
840	0.09018301604
841	0.09017591008
842	0.0901613198
843	0.09013971759
844	0.09013120896
845	0.09011669286
846	0.0900983037
847	0.09008535235
848	0.09007104359
849	0.09005239395
850	0.09003115802
851	0.09001558679
852	0.0900017586
853	0.08998498308
854	0.08996952721
855	0.08996241357
856	0.08994545447
857	0.08993835689
858	0.08992886723
859	0.08992328858
860	0.08990100209
861	0.08988358447
862	0.089867546
863	0.08984747158
864	0.0898309845
865	0.08981440811
866	0.08979610909
867	0.08977980324
868	0.0897677732
869	0.08974446666
870	0.08973520804
871	0.08971372732
872	0.08969616996
873	0.08968186328
874	0.0896640964
875	0.08963923227
876	0.08962959011
877	0.08959844488
878	0.08958035156
879	0.0895644174
880	0.08955286146
881	0.08953689175
882	0.08952216698
883	0.08951013561
884	0.08950391439
885	0.08949451361
886	0.08947242012
887	0.08946157652
888	0.08944850524
889	0.08944022159
890	0.08943396221
891	0.08941599879
892	0.08940497719
893	0.08938989099
894	0.08937285155
895	0.08935767019
896	0.08934287772
897	0.08932511091
898	0.08930622666
899	0.08928853578
900	0.08927669243
901	0.08925696214
902	0.08925017068
903	0.08924163621
904	0.08922014345
905	0.08921023053
906	0.08920297008
907	0.08918695327
908	0.08917189227
909	0.08915242488
910	0.0891348987
911	0.08912105778
912	0.08910617856
913	0.08908766655
914	0.08907635859
915	0.08906131863
916	0.08905288605
917	0.08903821687
918	0.08902054899
919	0.08900767179
920	0.08899212783
921	0.08897695517
922	0.0889622475
923	0.08895242122
924	0.08893816726
925	0.08892883637
926	0.08891143655
927	0.08890341521
928	0.08888873748
929	0.08885359743
930	0.08884415393
931	0.08882324231
932	0.08881404619
933	0.08880149568
934	0.08878281043
935	0.0887674027
936	0.0887639588
937	0.08874469322
938	0.08872746661
939	0.08871524696
940	0.08870578648
941	0.08869982595
942	0.08869409763
943	0.08868504478
944	0.08866449471
945	0.08865501377
946	0.08864169551
947	0.0886241769
948	0.08860579157
949	0.0885959337
950	0.0885728147
951	0.08856204222
952	0.0885558
953	0.0885432478
954	0.08852912762
955	0.08851415095
956	0.0885047371
957	0.08849824567
958	0.08848474353
959	0.08847524369
960	0.08846151614
961	0.08843771901
962	0.08842065477
963	0.08840290004
964	0.08838085895
965	0.08836726659
966	0.08834711993
967	0.08832280886
968	0.08830279142
969	0.08828230673
970	0.08826480377
971	0.08824989497
972	0.08824412982
973	0.08822379874
974	0.08820779236
975	0.08820128885
976	0.08818859837
977	0.08817850057
978	0.08816226388
979	0.08815201482
980	0.08813662825
981	0.08811571802
982	0.08811051424
983	0.08810228301
984	0.0880923256
985	0.08807290046
986	0.08805676409
987	0.08804368626
988	0.08803175164
989	0.08802165755
990	0.08800982118
991	0.08799921786
992	0.08798187894
993	0.08796214546
994	0.08794570712
995	0.08793162656
996	0.08791816416
997	0.08790328528
998	0.08788917726
999	0.08787266676
